GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
certificate-service,com.seccertificate.certificateservice.security,JwtTokenProvider,83,0,0,0,27,0,5,0,5,0
certificate-service,com.seccertificate.certificateservice.security,CustomUserDetails,267,29,50,0,16,3,44,3,19,3
certificate-service,com.seccertificate.certificateservice.security,JwtAuthenticationFilter,78,0,8,0,18,0,7,0,3,0
certificate-service,com.seccertificate.certificateservice.security,ApiKeyAuthenticationFilter,60,0,4,0,16,0,5,0,3,0
certificate-service,com.seccertificate.certificateservice.security,CustomUserDetailsService,42,0,0,0,7,0,5,0,5,0
certificate-service,com.seccertificate.certificateservice.config,SwaggerConfig,67,0,0,0,24,0,2,0,2,0
certificate-service,com.seccertificate.certificateservice.config,SecurityConfig,186,0,0,0,29,0,10,0,10,0
certificate-service,com.seccertificate.certificateservice.config,JacksonConfig,19,0,0,0,5,0,2,0,2,0
certificate-service,com.seccertificate.certificateservice.config,AsyncConfig,26,0,0,0,9,0,2,0,2,0
certificate-service,com.seccertificate.certificateservice.config,CorsConfig,0,4,0,0,0,2,0,2,0,2
certificate-service,com.seccertificate.certificateservice.dto,AuthResponse.AuthResponseBuilder,13,43,1,1,0,1,2,6,1,6
certificate-service,com.seccertificate.certificateservice.dto,CertificateBatchRequest,129,0,22,0,6,0,22,0,11,0
certificate-service,com.seccertificate.certificateservice.dto,AuditLogDTO,3,0,0,0,1,0,1,0,1,0
certificate-service,com.seccertificate.certificateservice.dto,CustomerDTO.CustomerDTOBuilder,92,0,0,0,1,0,12,0,12,0
certificate-service,com.seccertificate.certificateservice.dto,CertificateDTO.CertificateDTOBuilder,156,0,0,0,1,0,19,0,19,0
certificate-service,com.seccertificate.certificateservice.dto,GenerateCertificateRequest,196,19,38,0,6,2,32,2,13,2
certificate-service,com.seccertificate.certificateservice.dto,GenerateCertificateRequest.GenerateCertificateRequestBuilder,11,35,0,0,0,1,1,6,1,6
certificate-service,com.seccertificate.certificateservice.dto,ErrorResponse,285,0,48,0,10,0,43,0,19,0
certificate-service,com.seccertificate.certificateservice.dto,CustomerDTO,365,66,78,0,2,11,45,19,6,19
certificate-service,com.seccertificate.certificateservice.dto,TemplateDTO,475,0,86,0,14,0,70,0,27,0
certificate-service,com.seccertificate.certificateservice.dto,BatchGenerationResponse,223,0,34,0,9,0,34,0,17,0
certificate-service,com.seccertificate.certificateservice.dto,CertificateBatchRequest.CertificateBatchRequestBuilder,28,0,0,0,1,0,5,0,5,0
certificate-service,com.seccertificate.certificateservice.dto,TemplateSimulationRequest.TemplateSimulationRequestBuilder,28,0,0,0,1,0,5,0,5,0
certificate-service,com.seccertificate.certificateservice.dto,PageResponse.PageResponseBuilder,64,0,0,0,1,0,9,0,9,0
certificate-service,com.seccertificate.certificateservice.dto,ApiResponse,181,51,34,0,7,17,27,8,10,8
certificate-service,com.seccertificate.certificateservice.dto,TemplateSimulationRequest,129,0,22,0,6,0,22,0,11,0
certificate-service,com.seccertificate.certificateservice.dto,LoginRequest,107,17,22,0,1,4,16,5,5,5
certificate-service,com.seccertificate.certificateservice.dto,TemplateSimulationResponse.TemplateSimulationResponseBuilder,46,0,0,0,1,0,7,0,7,0
certificate-service,com.seccertificate.certificateservice.dto,TemplateSimulationResponse,202,0,34,0,8,0,32,0,15,0
certificate-service,com.seccertificate.certificateservice.dto,CertificateDTO,719,14,134,0,17,3,102,4,35,4
certificate-service,com.seccertificate.certificateservice.dto,ErrorResponse.ErrorResponseBuilder,65,0,0,0,1,0,9,0,9,0
certificate-service,com.seccertificate.certificateservice.dto,TemplateDTO.TemplateDTOBuilder,102,0,0,0,1,0,13,0,13,0
certificate-service,com.seccertificate.certificateservice.dto,PageResponse,228,0,26,0,10,0,32,0,19,0
certificate-service,com.seccertificate.certificateservice.dto,AuthResponse,189,31,38,0,2,6,29,6,10,6
certificate-service,com.seccertificate.certificateservice.dto,ApiResponse.ApiResponseBuilder,12,35,0,0,0,1,1,6,1,6
certificate-service,com.seccertificate.certificateservice.dto,BatchGenerationResponse.BatchGenerationResponseBuilder,54,0,0,0,1,0,8,0,8,0
certificate-service,com.seccertificate.certificateservice.service,AuthService,0,53,0,0,0,14,0,2,0,2
certificate-service,com.seccertificate.certificateservice.service,CertificateService,537,58,2,2,143,8,17,4,16,3
certificate-service,com.seccertificate.certificateservice.service,CertificateService.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
certificate-service,com.seccertificate.certificateservice.service,TemplateService,471,0,28,0,107,0,33,0,19,0
certificate-service,com.seccertificate.certificateservice.service,CustomerService,208,5,6,0,47,1,16,1,13,1
certificate-service,com.seccertificate.certificateservice.service,SignatureService,12,55,1,1,3,11,2,4,1,4
certificate-service,com.seccertificate.certificateservice.service,TemplateService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
certificate-service,com.seccertificate.certificateservice.service,PdfGenerationService,459,4,30,0,95,1,29,1,14,1
certificate-service,com.seccertificate.certificateservice,CertificateServiceApplication,5,3,0,0,2,1,1,1,1,1
certificate-service,com.seccertificate.certificateservice.controller,TemplateController,156,0,0,0,30,0,10,0,10,0
certificate-service,com.seccertificate.certificateservice.controller,PublicController,22,0,0,0,4,0,3,0,3,0
certificate-service,com.seccertificate.certificateservice.controller,CustomerController,66,0,0,0,13,0,7,0,7,0
certificate-service,com.seccertificate.certificateservice.controller,AuthController,0,29,0,0,0,5,0,3,0,3
certificate-service,com.seccertificate.certificateservice.controller,CertificateController,109,28,0,0,26,5,5,3,5,3
certificate-service,com.seccertificate.certificateservice.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
certificate-service,com.seccertificate.certificateservice.exception,GlobalExceptionHandler,167,3,0,0,62,1,8,1,8,1
certificate-service,com.seccertificate.certificateservice.entity,AuditLog.AuditLogBuilder,91,0,0,0,1,0,12,0,12,0
certificate-service,com.seccertificate.certificateservice.entity,AuditLog,100,0,0,0,13,0,21,0,21,0
certificate-service,com.seccertificate.certificateservice.entity,Template.TemplateStatus,21,0,0,0,2,0,1,0,1,0
certificate-service,com.seccertificate.certificateservice.entity,Certificate.CertificateBuilder,98,71,2,2,0,1,14,6,12,6
certificate-service,com.seccertificate.certificateservice.entity,Template.TemplateBuilder,144,0,6,0,1,0,17,0,14,0
certificate-service,com.seccertificate.certificateservice.entity,Customer,144,0,0,0,15,0,29,0,29,0
certificate-service,com.seccertificate.certificateservice.entity,Template.TemplateType,21,0,0,0,2,0,1,0,1,0
certificate-service,com.seccertificate.certificateservice.entity,Customer.CustomerStatus,0,21,0,0,0,2,0,1,0,1
certificate-service,com.seccertificate.certificateservice.entity,Certificate,111,60,0,0,15,4,30,5,30,5
certificate-service,com.seccertificate.certificateservice.entity,Certificate.CertificateStatus,0,27,0,0,0,2,0,1,0,1
certificate-service,com.seccertificate.certificateservice.entity,Customer.CustomerBuilder,153,0,8,0,1,0,18,0,14,0
certificate-service,com.seccertificate.certificateservice.entity,Template,137,0,0,0,15,0,28,0,28,0
